id,v,p,t,url
mosaqua,Online dagkaart,14.50,flexibel,https://www.mosaqua.nl/nl/
splesj,Aan de kassa,20.00,flexibel,https://www.molecaten.nl/splesj/tickets-openingstijden
splesj,Online datumticket,15.00,datumticket,https://www.molecaten.nl/splesj/tickets-openingstijden
hemelrijk,Aan de kassa,13.50,flexibel,https://billybird.nl/hemelrijk
hemelrijk,Online (vroeg geboekt),9.95,datumticket,https://billybird.nl/hemelrijk
tropiqua,Entree,7.25,flexibel,https://tropiqua.nl/
aquafun,Dagkaart kassa,20.50,flexibel,https://sportiom.sportfondsen.nl/activiteiten/aquafun/
aquafun,Online,16.50,datumticket,https://sportiom.sportfondsen.nl/activiteiten/aquafun/
aquafun,Tripper actie,10.00,actie,https://www.tripper.nl/deal/entreeticket-suptropisch-zwembad-aquafun-korting
preston-palace,Weekend/vakantie,21.50,flexibel,https://www.prestonpalace.eu/
preston-palace,Doordeweeks,17.50,datumticket,https://www.prestonpalace.eu/
preston-palace,Avondentree,12.50,actie,https://www.prestonpalace.eu/
aqua-mundo-eemhof,Dagticket (weekend),32.00,flexibel,https://www.centerparcs.nl/nl-nl/nederland/fp_EH_vakantiepark-de-eemhof/dagticket
aqua-mundo-eemhof,Aan de kassa,28.00,datumticket,https://www.centerparcs.nl/nl-nl/nederland/fp_EH_vakantiepark-de-eemhof/dagticket
aqua-mundo-eemhof,Avondticket,21.00,actie,https://www.centerparcs.nl/nl-nl/nederland/fp_EH_vakantiepark-de-eemhof/dagticket
