id,v,p,t,url
efteling,Aan de poort,56.00,flexibel,https://www.efteling.com/nl/tickets
efteling,Efteling.nl online,40.00,datumticket,https://www.efteling.com/nl/tickets
walibi,Aan de poort,46.00,flexibel,https://www.walibi.nl/nl/tickets
walibi,Walibi.nl online,33.95,datumticket,https://www.walibi.nl/nl/tickets
walibi,Tripper actie,29.95,actie,https://www.tripper.nl/deal/ticket-walibi-holland-biddinghuizen-korting
toverland,Aan de poort,46.50,flexibel,https://tickets.toverland.com/
toverland,Toverland.com Early Bird,30.00,vroegboek,https://tickets.toverland.com/
duinrell,Standaard (zonder datum),26.00,flexibel,https://tickets.duinrell.com/
duinrell,Duinrell.com online,19.95,datumticket,https://tickets.duinrell.com/
burgers-zoo,Aan de poort,29.00,flexibel,https://www.burgerszoo.nl/reserveren
burgers-zoo,Burgerszoo.nl online,28.00,datumticket,https://www.burgerszoo.nl/reserveren
burgers-zoo,Tripper actie,24.00,actie,https://www.tripper.nl/deal/entreeticket-burgers-zoo-korting
artis,Standaard,29.50,flexibel,https://dagtickets.artis.nl/
artis,ARTIS online (regulier),26.50,datumticket,https://dagtickets.artis.nl/
ouwehands,Zonder datum,30.50,flexibel,https://www.ouwehand.nl/nl/bestel-tickets
ouwehands,Ouwehand.nl datumticket,27.50,datumticket,https://www.ouwehand.nl/nl/bestel-tickets
ouwehands,Dinsdagdeal,24.00,actie,https://www.ouwehand.nl/nl/bestel-tickets
beekse-bergen,Aan de poort,32.50,flexibel,https://www.beeksebergen.nl/korting
beekse-bergen,Beeksebergen.nl online,28.50,datumticket,https://www.beeksebergen.nl/korting
beekse-bergen,Tripper actie,21.35,actie,https://www.tripper.nl/deal/entree-ticket-safaripark-beekse-bergen-korting
dolfinarium,Aan de poort,29.00,flexibel,https://tickets.dolfinarium.nl/
dolfinarium,Dolfinarium.nl online,19.00,datumticket,https://tickets.dolfinarium.nl/
dolfinarium,Tripper actie,18.50,actie,https://www.tripper.nl/deal/entree-ticket-dolfinarium-harderwijk-korting
tikibad,Aan de poort (2 uur),20.00,flexibel,https://tickets.duinrell.com/
tikibad,Duinrell.com online,17.00,datumticket,https://tickets.duinrell.com/
plopsa-coevorden,Zonder datum,27.50,flexibel,https://www.plopsa.com/nl/plopsa-indoor-coevorden/tickets
plopsa-coevorden,Plopsa.com datumticket,18.00,datumticket,https://www.plopsa.com/nl/plopsa-indoor-coevorden/tickets
plopsa-coevorden,Tripper actie,13.50,actie,https://www.tripper.nl/deal/ticket-plopsa-indoor-coevorden-korting
monkey-town,Entree per kind,10.95,flexibel,https://monkeytown.eu/nl/tarieven
