id,v,p,t,url
efteling,Aan de poort,56.00,flexibel,https://www.efteling.com/nl/tickets
efteling,Efteling.nl online,40.00,datumticket,https://www.efteling.com/nl/tickets
walibi,Aan de poort,46.00,flexibel,https://www.walibi.nl/nl/tickets
walibi,Walibi.nl online,33.95,datumticket,https://www.walibi.nl/nl/tickets
walibi,Tripper actie,29.95,actie,https://www.tripper.nl/deal/ticket-walibi-holland-biddinghuizen-korting
toverland,Aan de poort,46.50,flexibel,https://tickets.toverland.com/
toverland,Toverland.com Early Bird,30.00,vroegboek,https://tickets.toverland.com/
duinrell,Standaard (zonder datum),26.00,flexibel,https://tickets.duinrell.com/
duinrell,Duinrell.com online,19.95,datumticket,https://tickets.duinrell.com/
hellendoorn,Zonder datum,33.50,flexibel,https://www.avonturenpark.nl/bezoek-plannen/entreeprijzen
hellendoorn,Avonturenpark.nl online,20.50,datumticket,https://www.avonturenpark.nl/bezoek-plannen/entreeprijzen
drievliet,Aan de poort,33.50,flexibel,https://www.drievliet.nl/bezoek-plannen/tickets
drievliet,Drievliet.nl online,24.50,datumticket,https://www.drievliet.nl/bezoek-plannen/tickets
slagharen,Aan de poort,36.00,flexibel,https://www.slagharen.com/
slagharen,Tripper actie,22.90,actie,https://www.tripper.nl/deal/all-in-ticket-entree-attractiepark-slagharen-korting
julianatoren,Aan de poort,31.00,flexibel,https://www.julianatoren.nl/info/toegangsprijzen/
julianatoren,Online actie,22.50,actie,https://www.julianatoren.nl/info/toegangsprijzen/
linnaeushof,Zonder datum,18.00,flexibel,https://tickets.linnaeushof.nl/
linnaeushof,Linnaeushof.nl online,15.00,datumticket,https://tickets.linnaeushof.nl/
linnaeushof,Tripper actie,14.50,actie,https://www.tripper.nl/deal/ticket-linnaeushof-entree-korting
burgers-zoo,Aan de poort,29.00,flexibel,https://www.burgerszoo.nl/reserveren
burgers-zoo,Burgerszoo.nl online,28.00,datumticket,https://www.burgerszoo.nl/reserveren
burgers-zoo,Tripper actie,24.00,actie,https://www.tripper.nl/deal/entreeticket-burgers-zoo-korting
artis,Standaard,29.50,flexibel,https://dagtickets.artis.nl/
artis,ARTIS online (regulier),26.50,datumticket,https://dagtickets.artis.nl/
ouwehands,Zonder datum,30.50,flexibel,https://www.ouwehand.nl/nl/bestel-tickets
ouwehands,Ouwehand.nl datumticket,27.50,datumticket,https://www.ouwehand.nl/nl/bestel-tickets
ouwehands,Dinsdagdeal,24.00,actie,https://www.ouwehand.nl/nl/bestel-tickets
beekse-bergen,Aan de poort,32.50,flexibel,https://www.beeksebergen.nl/korting
beekse-bergen,Beeksebergen.nl online,28.50,datumticket,https://www.beeksebergen.nl/korting
beekse-bergen,Tripper actie,21.35,actie,https://www.tripper.nl/deal/entree-ticket-safaripark-beekse-bergen-korting
dolfinarium,Aan de poort,29.00,flexibel,https://tickets.dolfinarium.nl/
dolfinarium,Dolfinarium.nl online,19.00,datumticket,https://tickets.dolfinarium.nl/
dolfinarium,Tripper actie,18.50,actie,https://www.tripper.nl/deal/entree-ticket-dolfinarium-harderwijk-korting
apenheul,Aan de poort,29.00,flexibel,https://www.apenheul.com/tickets
apenheul,Apenheul.com online,21.50,datumticket,https://www.apenheul.com/tickets
apenheul,Tripper actie,19.85,actie,https://www.tripper.nl/deal/ticket-apenheul-apeldoorn-korting
blijdorp,Aan de poort,32.50,flexibel,https://diergaardeblijdorp.nl/nl/ontdek-blijdorp/tickets
blijdorp,Blijdorp online,27.50,datumticket,https://tickets.diergaardeblijdorp.nl/
blijdorp,Tripper actie,21.50,actie,https://www.tripper.nl/deal/ticket-diergaarde-blijdorp-korting
gaiazoo,Aan de poort,25.50,flexibel,https://tickets.gaiazoo.nl/
gaiazoo,GaiaZOO online (Early Bird),21.50,vroegboek,https://tickets.gaiazoo.nl/
dierenpark-amersfoort,Aan de poort,31.50,flexibel,https://dierenparkamersfoort.nl/tickets/
dierenpark-amersfoort,Online datumticket,29.50,datumticket,https://dierenparkamersfoort.nl/tickets/
dierenpark-amersfoort,Tripper actie,22.95,actie,https://www.tripper.nl/deal/entree-ticket-dierenpark-amersfoort-korting
wildlands,Aan de poort,32.00,flexibel,https://www.wildlands.nl/tickets-bestellen
wildlands,Online datumticket,23.00,datumticket,https://www.wildlands.nl/tickets-bestellen
wildlands,Tripper actie,22.00,actie,https://www.tripper.nl/deal/wildlands-adventure-zoo-ticket-korting
tikibad,Aan de poort (2 uur),20.00,flexibel,https://tickets.duinrell.com/
tikibad,Duinrell.com online,17.00,datumticket,https://tickets.duinrell.com/
plopsa-coevorden,Zonder datum,27.50,flexibel,https://www.plopsa.com/nl/plopsa-indoor-coevorden/tickets
plopsa-coevorden,Plopsa.com datumticket,18.00,datumticket,https://www.plopsa.com/nl/plopsa-indoor-coevorden/tickets
plopsa-coevorden,Tripper actie,13.50,actie,https://www.tripper.nl/deal/ticket-plopsa-indoor-coevorden-korting
monkey-town,Entree per kind,10.95,flexibel,https://monkeytown.eu/nl/tarieven
aqua-mundo,Aan de poort (weekend),32.00,flexibel,https://www.centerparcs.nl/nl-nl/dagje-zwemmen_sck
aqua-mundo,Doordeweeks dagticket,22.00,datumticket,https://www.centerparcs.nl/nl-nl/dagje-zwemmen_sck
aqua-mundo,Tripper actie,14.00,actie,https://www.tripper.nl/deal/tickets-aqua-mundo-center-parcs-het-meerdal-korting
de-bonte-wever,Aan de poort (weekend),14.45,flexibel,https://www.debontewever.nl/zwemparadijs/
de-bonte-wever,Doordeweeks,10.15,datumticket,https://www.debontewever.nl/zwemparadijs/
de-bonte-wever,Tripper actie,7.80,actie,https://www.tripper.nl/deal/ticket-zwem-en-saunaparadijs-de-bonte-wever-korting
spoorwegmuseum,Aan de poort,19.50,flexibel,https://www.spoorwegmuseum.nl/
spoorwegmuseum,Dinsdagdeal,14.50,actie,https://www.spoorwegmuseum.nl/
naturalis,Officieel online,18.00,datumticket,https://www.naturalis.nl/
naturalis,Online actie,14.50,actie,https://www.uitmetkorting.nl/naturalis/
nemo,Officieel online,21.50,datumticket,https://tickets.nemosciencemuseum.nl/
rijksmuseum,Officieel online,23.50,datumticket,https://www.rijksmuseum.nl/nl/tickets
vangogh,Officieel online,25.00,datumticket,https://www.vangoghmuseum.nl/nl/bezoek/tickets
vangogh,Tiqets,25.00,datumticket,https://www.tiqets.com/nl/van-gogh-museum-tickets-l144593/
mosaqua,Online dagkaart,14.50,flexibel,https://www.mosaqua.nl/nl/
splesj,Aan de kassa,20.00,flexibel,https://www.molecaten.nl/splesj/tickets-openingstijden
splesj,Online datumticket,15.00,datumticket,https://www.molecaten.nl/splesj/tickets-openingstijden
hemelrijk,Aan de kassa,13.50,flexibel,https://billybird.nl/hemelrijk
hemelrijk,Online (vroeg geboekt),9.95,datumticket,https://billybird.nl/hemelrijk
tropiqua,Entree,7.25,flexibel,https://tropiqua.nl/
aquafun,Dagkaart kassa,20.50,flexibel,https://sportiom.sportfondsen.nl/activiteiten/aquafun/
aquafun,Online,16.50,datumticket,https://sportiom.sportfondsen.nl/activiteiten/aquafun/
aquafun,Tripper actie,10.00,actie,https://www.tripper.nl/deal/entreeticket-suptropisch-zwembad-aquafun-korting
preston-palace,Weekend/vakantie,21.50,flexibel,https://www.prestonpalace.eu/
preston-palace,Doordeweeks,17.50,datumticket,https://www.prestonpalace.eu/
preston-palace,Avondentree,12.50,actie,https://www.prestonpalace.eu/
aqua-mundo-eemhof,Dagticket (weekend),32.00,flexibel,https://www.centerparcs.nl/nl-nl/nederland/fp_EH_vakantiepark-de-eemhof/dagticket
aqua-mundo-eemhof,Aan de kassa,28.00,datumticket,https://www.centerparcs.nl/nl-nl/nederland/fp_EH_vakantiepark-de-eemhof/dagticket
aqua-mundo-eemhof,Avondticket,21.00,actie,https://www.centerparcs.nl/nl-nl/nederland/fp_EH_vakantiepark-de-eemhof/dagticket
openluchtmuseum,Aan de kassa,24.00,flexibel,https://www.openluchtmuseum.nl/tickets
openluchtmuseum,Online datumticket,23.00,datumticket,https://www.openluchtmuseum.nl/tickets
anne-frank,Officieel online,16.50,datumticket,https://www.annefrank.org/nl/museum/tickets/
madame-tussauds,Aan de deur,27.00,flexibel,https://www.madametussauds.com/amsterdam/tickets-prijzen/
madame-tussauds,Online,23.50,datumticket,https://www.madametussauds.com/amsterdam/tickets-prijzen/
corpus,Standaard,25.95,flexibel,https://corpusexperience.nl/tickets-tarieven/
corpus,Tripper actie,19.95,actie,https://www.tripper.nl/deal/ticket-corpus-korting
