id,naam,cat,plaats,provincie,rating,kassa,verified,bron,omschrijving
efteling,Efteling,attractiepark,Kaatsheuvel,Noord-Brabant,4.8,56.00,2026-05-26,efteling.com,"Het grootste en bekendste attractiepark van Nederland, beroemd om zijn sprookjesbos en achtbanen. Efteling werkt met dynamische dagprijzen: op rustige dagen ben je het voordeligst uit."
walibi,Walibi Holland,attractiepark,Biddinghuizen,Flevoland,4.5,46.00,2026-05-26,walibi.nl,"Adrenalinepark met spectaculaire achtbanen zoals Untamed en Goliath. Online en via vroegboekdeals ligt de prijs flink onder het kassatarief."
toverland,Toverland,attractiepark,Sevenum,Limburg,4.6,46.50,2026-05-26,toverland.com,"Sfeervol attractiepark met afwisseling tussen indoor- en outdoor-themagebieden. Wie minimaal 7 dagen vooraf boekt, krijgt Early Bird-korting."
duinrell,Duinrell,attractiepark,Wassenaar,Zuid-Holland,4.3,26.00,2026-05-26,duinrell.nl,"Attractiepark en vakantiepark met gratis attracties en het Tikibad. Kaartjes zijn uitsluitend online te koop met dynamische prijzen."
hellendoorn,Avonturenpark Hellendoorn,attractiepark,Hellendoorn,Overijssel,4.4,33.50,2026-05-26,avonturenpark.nl,"Avontuurlijk attractiepark in de bossen van Hellendoorn met achtbanen en waterattracties, met één prijs voor iedereen vanaf 2 jaar."
drievliet,Familiepark Drievliet,attractiepark,Den Haag,Zuid-Holland,4.3,33.50,2026-05-26,drievliet.nl,"Gezellig familiepark bij Den Haag met attracties voor jong en oud, al meer dan 85 jaar een begrip in de regio."
slagharen,Attractiepark Slagharen,attractiepark,Slagharen,Overijssel,4.3,36.00,2026-05-26,slagharen.com,"Western-attractiepark in Overijssel met achtbanen, waterattracties en het bekende ponypark; werkt met variabele dagprijzen."
julianatoren,Koningin Julianatoren,attractiepark,Apeldoorn,Gelderland,4.4,31.00,2026-05-26,julianatoren.nl,"Kinderpretpark bij Apeldoorn, helemaal gericht op gezinnen met jonge kinderen, bekend van het Henkie-thema."
linnaeushof,Linnaeushof,attractiepark,Bennebroek,Noord-Holland,4.4,18.00,2026-05-26,linnaeushof.nl,"Een van de grootste speeltuinen van Europa, met honderden speeltoestellen in een groene omgeving bij Bennebroek."
burgers-zoo,Burgers' Zoo,dierentuin,Arnhem,Gelderland,4.7,29.00,2026-05-26,burgerszoo.nl,"Dierentuin met indrukwekkende ecodisplays: Bush, Desert, Ocean en Mangrove. Online datumtickets zijn voordeliger dan aan de kassa."
artis,ARTIS,dierentuin,Amsterdam,Noord-Holland,4.6,29.50,2026-05-26,artis.nl,"De oudste dierentuin van Nederland, midden in Amsterdam, met sterrenwacht en aquarium. Online is altijd voordeliger en de prijs verschilt per dag."
ouwehands,Ouwehands Dierenpark,dierentuin,Rhenen,Utrecht,4.7,30.50,2026-05-26,ouwehand.nl,"Dierenpark bekend van de pandaverblijven en speeltuin. Met de dinsdagdeal en Early Bird boek je het voordeligst."
